mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_learning_rate,param_loss,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_n_iter_no_change,param_tol,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
828.0989900827408,2.0321658849716187,31.643311977386475,0.06529092788696289,friedman_mse,0.1,log_loss,3,log2,10,2,500,5,0.0001,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'log_loss', 'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 10, 'min_samples_split': 2, 'n_estimators': 500, 'n_iter_no_change': 5, 'tol': 0.0001}",0.5578761834942522,0.5567124078255207,0.5572942956598864,0.0005818878343657463,13
287.63435208797455,1.5462766885757446,8.389572381973267,0.10924434661865234,friedman_mse,0.1,log_loss,5,log2,2,2,100,5,0.0001,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'log_loss', 'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100, 'n_iter_no_change': 5, 'tol': 0.0001}",0.562976712264666,0.567978069200563,0.5654773907326145,0.002500678467948547,11
1397.248906970024,13.349785208702087,39.85556495189667,0.5820480585098267,friedman_mse,0.1,log_loss,5,log2,2,2,500,5,0.0001,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'log_loss', 'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500, 'n_iter_no_change': 5, 'tol': 0.0001}",0.6387437413236418,0.641573371080513,0.6401585562020774,0.001414814878435644,5
285.7341163158417,1.8437929153442383,8.617031335830688,0.11867094039916992,friedman_mse,0.1,log_loss,5,log2,10,2,100,5,0.0001,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'log_loss', 'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 10, 'min_samples_split': 2, 'n_estimators': 100, 'n_iter_no_change': 5, 'tol': 0.0001}",0.5690950070970661,0.5690816282760691,0.5690883176865675,6.689410498472714e-06,9
1395.7414244413376,2.4050439596176147,39.226757645606995,0.14196646213531494,friedman_mse,0.1,log_loss,5,log2,10,2,500,5,0.0001,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'log_loss', 'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 10, 'min_samples_split': 2, 'n_estimators': 500, 'n_iter_no_change': 5, 'tol': 0.0001}",0.6384785762193695,0.6402865354094283,0.6393825558143988,0.0009039795950293583,6
165.55313801765442,3.5045456886291504,7.199379324913025,0.05055820941925049,friedman_mse,0.01,log_loss,3,log2,2,2,100,5,0.0001,"{'criterion': 'friedman_mse', 'learning_rate': 0.01, 'loss': 'log_loss', 'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100, 'n_iter_no_change': 5, 'tol': 0.0001}",0.5142331269204973,0.5144808008017376,0.5143569638611174,0.00012383694062018114,28
849.1291737556458,2.5721635818481445,33.93768548965454,0.17563748359680176,friedman_mse,0.01,log_loss,3,log2,2,2,500,5,0.0001,"{'criterion': 'friedman_mse', 'learning_rate': 0.01, 'loss': 'log_loss', 'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500, 'n_iter_no_change': 5, 'tol': 0.0001}",0.5289146948261608,0.5312057650238065,0.5300602299249837,0.0011455350988228141,21
172.920072555542,0.4858741760253906,7.169067025184631,0.019411444664001465,friedman_mse,0.01,log_loss,3,log2,10,2,100,5,0.0001,"{'criterion': 'friedman_mse', 'learning_rate': 0.01, 'loss': 'log_loss', 'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 10, 'min_samples_split': 2, 'n_estimators': 100, 'n_iter_no_change': 5, 'tol': 0.0001}",0.5148765422470403,0.5173937288208296,0.516135135533935,0.0012585932868946492,27
845.7234737873077,5.24392557144165,33.47651398181915,0.09957563877105713,friedman_mse,0.01,log_loss,3,log2,10,2,500,5,0.0001,"{'criterion': 'friedman_mse', 'learning_rate': 0.01, 'loss': 'log_loss', 'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 10, 'min_samples_split': 2, 'n_estimators': 500, 'n_iter_no_change': 5, 'tol': 0.0001}",0.5298895665330442,0.5328708523921495,0.5313802094625968,0.0014906429295526435,19
277.2635244131088,2.6250351667404175,8.9883633852005,0.08987271785736084,friedman_mse,0.01,log_loss,5,log2,2,2,100,5,0.0001,"{'criterion': 'friedman_mse', 'learning_rate': 0.01, 'loss': 'log_loss', 'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100, 'n_iter_no_change': 5, 'tol': 0.0001}",0.5314688586981953,0.5299735223811919,0.5307211905396936,0.0007476681585016909,20
